# coordinate	name	kind	language	homepage	stars	updated	description
# Generated by "vise sync" from the Mason registry, mise registry and GitHub.
# Do not hand-edit; edits are lost on sync. Use catalog-overrides.tsv instead.
npm:@glint/core	glint	lsp,linter	handlebars,glimmer,typescript,javascript	https://typed-ember.gitbook.io/glint/	-	-	Glint is a set of tools to aid in developing code that uses the Glimmer VM for rendering, such as Ember.js v3.24+ and GlimmerX projects. Similar to Vetur for Vue projects or Svelte Language Tools, Glint consists of a CLI and a language server to provide feedback and enforce correctness both locally during editing and project-wide in CI.
github:nolanderc/glsl_analyzer	glsl_analyzer	lsp	opengl	https://github.com/nolanderc/glsl_analyzer	376	2025-10-22	Language server for GLSL (autocomplete, goto-definition, formatter, and more)
github:svenstaro/glsl-language-server	glslls	lsp	glsl	https://github.com/svenstaro/glsl-language-server	199	2024-07-25	Language server implementation for GLSL.
github:google/gn-language-server	gn-language-server	lsp	gn	https://github.com/google/gn-language-server	29	2026-03-14	A language server for GN, the build configuration language used in Chromium, Fuchsia, and other projects.
gofumpt	gofumpt	formatter	go	https://pkg.go.dev/mvdan.cc/gofumpt	-	-	A stricter gofmt.
go:golang.org/x/tools	goimports	formatter	go	https://pkg.go.dev/golang.org/x/tools/cmd/goimports	-	-	A golang formatter which formats your code in the same style as gofmt and additionally updates your Go import lines, adding missing ones and removing unreferenced ones.
go:github.com/incu6us/goimports-reviser/v3	goimports-reviser	formatter	go	https://github.com/incu6us/goimports-reviser	715	2026-02-24	Tool for Golang to sort goimports by 3-4 groups: std, general, company (optional), and project dependencies. Also, formatting for your code will be prepared (so, you don't need to use gofmt or goimports separately). Use additional option -rm-unused to remove unused imports and -set-alias to rewrite import aliases for versioned packages.
golangci-lint	golangci-lint	linter	go	https://golangci-lint.run/	-	-	golangci-lint is a fast Go linters runner. It runs linters in parallel, uses caching, supports yaml config, has integrations with all major IDE and has dozens of linters included.
golangci-lint-langserver	golangci-lint-langserver	lsp	go	https://github.com/nametake/golangci-lint-langserver	342	2026-02-23	golangci-lint language server.
golines	golines	formatter	go	https://github.com/segmentio/golines	1129	2025-12-19	A golang formatter that fixes long lines.
go:github.com/fatih/gomodifytags	gomodifytags	formatter	go	https://github.com/fatih/gomodifytags	2389	2025-04-23	Go tool to modify/update field tags in structs.
google-java-format	google-java-format	formatter	java	https://github.com/google/google-java-format	6171	2026-08-01	google-java-format is a program that reformats Java source code to comply with Google Java Style.
go:golang.org/x/tools/gopls	gopls	lsp	go	https://pkg.go.dev/golang.org/x/tools/gopls	-	-	gopls (pronounced "Go please") is the official Go language server developed by the Go team. It provides IDE features to any LSP-compatible editor.
go:github.com/kortschak/gospel	gospel	linter	go	https://github.com/kortschak/gospel	42	2025-03-23	misspelled word linter for Go comments, string literals and embedded files.
go:github.com/cweill/gotests	gotests	formatter	go	https://github.com/cweill/gotests	5326	2025-10-30	Gotests is a Golang commandline tool that generates table driven tests based on its target source files' function and method signatures.
unavailable:gradle-language-server	gradle-language-server	lsp	gradle	https://github.com/microsoft/vscode-gradle	174	2026-07-28	Gradle language server.
npm:grammarly-languageserver	grammarly-languageserver	lsp	markdown,text	https://github.com/znck/grammarly	1637	2023-12-17	DEPRECATED: Repo archived in 2024. — A language server implementation on top of Grammarly's SDK.
npm:graphql-language-service-cli	graphql-language-service-cli	lsp	graphql	https://www.npmjs.com/package/graphql-language-service-cli	-	-	GraphQL Language Service provides an interface for building GraphQL language services for IDEs.
github:GroovyLanguageServer/groovy-language-server	groovy-language-server	lsp	groovy	https://github.com/GroovyLanguageServer/groovy-language-server	235	2026-05-19	A language server for Groovy.
hadolint	hadolint	linter	docker	https://github.com/hadolint/hadolint	12330	2026-07-31	Dockerfile linter, validate inline bash, written in Haskell.
gem:haml_lint	haml-lint	linter	haml	https://github.com/sds/haml-lint	338	2026-08-01	haml-lint is a tool to help keep your HAML files clean and readable. In addition to HAML-specific style and lint checks, it integrates with RuboCop to bring its powerful static analysis tools to your HAML documents.
harper-ls	harper-ls	lsp	any	https://github.com/elijah-potter/harper	14117	2026-08-01	The Grammar Checker for Developers.
unavailable:haskell-language-server	haskell-language-server	lsp	haskell	https://haskell-language-server.readthedocs.io/en/latest/	-	-	Official Haskell Language Server implementation.
unavailable:haxe-language-server	haxe-language-server	lsp	haxe	https://github.com/vshaxe/haxe-language-server	124	2026-07-05	Language Server Protocol implementation for the Haxe language.
go:github.com/hashicorp/hcl/v2	hclfmt	formatter	hcl	https://github.com/hashicorp/hcl	5803	2026-08-01	A command to format HCL files
pipx:hdl-checker	hdl-checker	lsp	vhdl,verilog,systemverilog	https://pypi.org/project/hdl-checker/	-	-	HDL Checker is a language server that wraps VHDL/Verilg/SystemVerilog tools that aims to reduce the boilerplate code needed to set things up
helm-ls	helm-ls	lsp	helm	https://github.com/mrjosh/helm-ls	418	2025-12-24	A language server that offers Helm support in early development - programmed in Go.
npm:@herb-tools/language-server	herb-language-server	lsp	html,ruby	https://github.com/marcoroth/herb	1276	2026-08-02	Powerful and seamless HTML-aware ERB parsing and tooling.
hlint	hlint	linter	haskell	https://github.com/ndmitchell/hlint	1600	2026-07-27	HLint is a tool for suggesting possible improvements to Haskell code. These suggestions include ideads such as using alternative functions, simplifying code and spotting redundancies.
npm:@urbit/hoon-language-server	hoon-language-server	lsp	hoon	https://github.com/urbit/hoon-language-server	45	2026-04-02	Language Server for Hoon. Middleware to translate between the Language Server Protocol and your Urbit.
gem:htmlbeautifier	htmlbeautifier	formatter	html,ruby	https://github.com/threedaymonk/htmlbeautifier	373	2024-02-13	A normaliser/beautifier for HTML that also understands embedded Ruby. Ideal for tidying up Rails templates.
npm:htmlhint	htmlhint	linter	html	https://htmlhint.com	-	-	The Static Code Analysis Tool for your HTML
cargo:htmx-lsp	htmx-lsp	lsp	htmx	https://github.com/ThePrimeagen/htmx-lsp	707	2025-10-18	An experimental LSP for HTMX.
pipx:hydra-lsp	hydra-lsp	lsp	yaml	https://github.com/Retsediv/hydra-lsp	14	2025-08-13	LSP for Hydra config files
github:hylo-lang/hylo-language-server	hylo-language-server	lsp	hylo	https://github.com/hylo-lang/hylo-language-server	1	2026-07-28	hylo-language-server is an implementation of the Language Server Protocol for the Hylo programming language that provides features like semantic highlighting, go-to-definition, and more.
github:hyprland-community/hyprls	hyprls	lsp	hypr	https://github.com/hyprland-community/hyprls	331	2026-07-20	A LSP server for Hyprland config files
npm:intelephense	intelephense	lsp	php	https://intelephense.com	-	-	Professional PHP tooling for any Language Server Protocol capable editor.
pipx:isort	isort	formatter	python	https://pypi.org/project/isort/	-	-	isort is a Python utility / library to sort imports alphabetically.
github:georgewfraser/java-language-server	java-language-server	lsp	java	https://github.com/georgewfraser/java-language-server	809	2026-07-18	Java language server using the Java compiler API.
github:jvalue/jayvee	jayvee-language-server	lsp	jayvee	https://jvalue.github.io/jayvee/	-	-	Jayvee is a domain-specific language and runtime for automated processing of data pipelines.
github:eclipse-jdtls/eclipse.jdt.ls	jdtls	lsp	java	https://github.com/eclipse/eclipse.jdt.ls	2414	2026-07-31	Java language server.
pipx:jedi-language-server	jedi-language-server	lsp	python	https://github.com/pappasam/jedi-language-server	730	2026-06-23	A Python language server exclusively for Jedi. If Jedi supports it well, this language server should too.
github:uros-5/jinja-lsp	jinja-lsp	lsp,linter	django,jinja,nunjucks	https://github.com/uros-5/jinja-lsp	174	2026-07-04	Experimental jinja lsp server, with autocomplete, syntax highlighting, hover, goto definition, code actions and linting.
github:idelice/jls	jls	lsp	java	https://github.com/idelice/jls	128	2026-07-31	Java language server using Java compiler API, optimized for Neovim.
github:candid82/joker	joker	formatter,linter	clojure,clojurescript	https://github.com/candid82/joker	1767	2026-07-07	Small Clojure interpreter, linter and formatter.
jq	jq	formatter	json	https://github.com/stedolan/jq	35312	2026-07-26	Command-line JSON processor.
go:github.com/wader/jq-lsp	jq-lsp	lsp	jq	https://github.com/wader/jq-lsp	132	2026-07-20	jq-lsp is a language server for the jq language, developed by Mattias Wadman. It provides IDE features to any LSP-compatible editor.
pipx:json-repair	json-repair	formatter	python	https://pypi.org/project/json-repair/	-	-	A package to repair broken json strings
github:ajuvercr/jsonld-lsp	jsonld-lsp	lsp	json-ld	https://ajuvercr.github.io/jsonld-lsp/	-	-	JSON-LD Language Server.
npm:jsonlint	jsonlint	linter	json	https://github.com/zaach/jsonlint	1989	2022-07-12	A pure JavaScript version of the service provided at jsonlint.com.
go:github.com/grafana/jsonnet-language-server	jsonnet-language-server	lsp	jsonnet	https://github.com/grafana/jsonnet-language-server	222	2026-07-30	A Language Server Protocol (LSP) server for Jsonnet (https://jsonnet.org).
go:github.com/google/go-jsonnet	jsonnetfmt	formatter	jsonnet	https://github.com/google/go-jsonnet/tree/master/cmd/jsonnetfmt	-	-	jsonnetfmt is a command line tool to format jsonnetfmt files.
github:mason-org/julia-lsp	julia-lsp	lsp	julia	https://github.com/julia-vscode/LanguageServer.jl	410	2026-07-27	An implementation of the Microsoft Language Server Protocol for the Julia language.
pipx:jupytext	jupytext	formatter	python,julia,r,markdown	https://jupytext.readthedocs.io	-	-	Jupyter Notebooks as Markdown Documents, Julia, Python or R scripts
github:terror/just-lsp	just-lsp	lsp	just	https://github.com/terror/just-lsp/releases	-	-	just-lsp is a server implementation of the language server protocol for just, the command runner.
github:atusy/kakehashi	kakehashi	lsp	any	https://github.com/atusy/kakehashi	261	2026-08-01	Language server that bridges the gap between languages, editors, and tooling
kcl	kcl	formatter,lsp,linter	kcl	https://kcl-lang.io	-	-	KCL is an open-source, constraint-based record and functional language that enhances the writing of complex configurations, including those for cloud-native scenarios.
github:hougesen/kdlfmt	kdlfmt	formatter	kdl	https://github.com/hougesen/kdlfmt	107	2026-08-01	A code formatter for KDL documents.
github:Hessesian/kmp-lsp	kmp-lsp	lsp	kotlin,java,swift	https://github.com/Hessesian/kmp-lsp	150	2026-08-02	Kotlin Multiplatform Language Server
npm:kos-language-server	kos-language-server	lsp,linter,formatter	kerboscript	https://github.com/jonnyboyC/kos-language-server	32	2026-02-07	Language Server for Kerboscript from the kOS Kerbal Space Program mod.
github:fwcd/kotlin-language-server	kotlin-language-server	lsp	kotlin	https://github.com/fwcd/kotlin-language-server	2040	2025-06-02	Kotlin code completion, linting and more for any editor/IDE using the Language Server Protocol.
unavailable:kotlin-lsp	kotlin-lsp	lsp	kotlin	https://github.com/Kotlin/kotlin-lsp	3443	2026-08-02	Kotlin Language Server and plugin for Visual Studio Code
github:facebook/ktfmt	ktfmt	formatter	kotlin	https://github.com/facebook/ktfmt	1288	2026-08-01	A program that reformats Kotlin source code to comply with the common community conventions.
ktlint	ktlint	formatter,linter	kotlin	https://github.com/pinterest/ktlint	6728	2026-08-02	An anti-bikeshedding Kotlin linter with built-in formatter.
kube-linter	kube-linter	linter	helm,yaml	https://docs.kubelinter.io	-	-	KubeLinter is a static analysis tool that checks Kubernetes YAML files and Helm charts to ensure the applications represented in them adhere to best practices.
github:kubescape/kubescape	kubescape	linter	helm,yaml	https://kubescape.io/	-	-	Kubescape is an open-source Kubernetes security platform for your IDE, CI/CD pipelines, and clusters. It includes risk analysis, security, compliance, and misconfiguration scanning, saving Kubernetes users and administrators precious time, effort, and resources.
npm:@mistweaverco/kulala-fmt	kulala-fmt	formatter,linter	http	https://github.com/mistweaverco/kulala-fmt	96	2026-07-24	kulala-fmt An opinionated .http and .rest files linter and formatter.
npm:language-server-bitbake	language-server-bitbake	lsp	bitbake	https://github.com/yoctoproject/vscode-bitbake	69	2026-08-01	A language server for BitBake.
github:laravel-ls/laravel-ls	laravel-ls	lsp	php	https://github.com/laravel-ls/laravel-ls	250	2026-07-13	Laravel Language Server written in go.
github:cmhughes/latexindent.pl	latexindent	formatter	latex	https://github.com/cmhughes/latexindent.pl	1052	2026-07-22	latexindent.pl is a perl script to beautify/tidy/format/indent (add horizontal leading space to) code within environments, commands, after headings and within special code blocks.
npm:lean-language-server	lean-language-server	lsp	lean 3	https://www.npmjs.com/package/lean-language-server	-	-	Lean3 Language Server.
cargo:lelwel	lelwel	lsp	lelwel	https://github.com/0x2a-42/lelwel	197	2026-04-16	LL(1) parser generator for Rust.
github:redhat-developer/vscode-xml	lemminx	lsp	xml	https://github.com/eclipse/lemminx	362	2026-07-30	XML Language Server.
github:lexical-lsp/lexical	lexical	lsp	elixir	https://github.com/lexical-lsp/lexical	957	2025-02-18	Lexical is a next-generation elixir language server
github:huggingface/llm-ls	llm-ls	lsp	any	https://github.com/huggingface/llm-ls	880	2026-05-26	LSP server leveraging AI/LLMs based for code completion.
github:valentjn/ltex-ls	ltex-ls	lsp	text,markdown,latex,restructuredtext	https://valentjn.github.io/ltex/	-	-	LTeX Language Server: LSP language server for LanguageTool 🔍✔️ with support for LaTeX 🎓, Markdown 📝, and others.
github:ltex-plus/ltex-ls-plus	ltex-ls-plus	lsp	text,markdown,latex,restructuredtext	https://ltex-plus.github.io/ltex-plus/	-	-	LTeX Language Server+: LSP language server for LanguageTool 🔍✔️ with support for LaTeX 🎓, Markdown 📝, and others.
lua-language-server	lua-language-server	lsp	lua	https://github.com/LuaLS/lua-language-server	4330	2026-06-29	A language server that offers Lua language support - programmed in Lua.
unavailable:luacheck	luacheck	linter	lua	https://github.com/lunarmodules/luacheck	454	2026-07-31	A tool for linting and static analysis of Lua code.
unavailable:luaformatter	luaformatter	formatter	lua	https://github.com/Koihik/LuaFormatter	804	2023-08-25	Code formatter for Lua.
github:JohnnyMorganz/luau-lsp	luau-lsp	lsp	luau	https://github.com/JohnnyMorganz/luau-lsp	514	2026-08-01	An implementation of a language server for the Luau programming language.
npm:@salesforce/lwc-language-server	lwc-language-server	lsp	html,javascript	https://github.com/forcedotcom/lightning-language-server/	35	2026-03-27	Language Server for Lightning Web Components.
npm:m68k-lsp-server	m68k-lsp-server	lsp	m68k	https://github.com/grahambates/m68k-lsp	34	2025-03-12	Language Server Protocol implementation for Motorola 68000 assembly
aqua:Feel-ix-343/markdown-oxide	markdown-oxide	lsp	markdown	https://github.com/Feel-ix-343/markdown-oxide	2251	2026-08-01	Markdown language server with advanced linking support made to be completely compatible with Obsidian; An Obsidian Language Server.
npm:markdown-toc	markdown-toc	formatter	markdown	https://github.com/jonschlinkert/markdown-toc	1755	2024-08-09	API and CLI for generating a markdown TOC (table of contents) for a README or any markdown files.
npm:markdownlint-cli	markdownlint	linter,formatter	markdown	https://github.com/igorshubovych/markdownlint-cli	1083	2026-07-26	A Node.js style checker and lint tool for Markdown/CommonMark files.
markdownlint-cli2	markdownlint-cli2	linter,formatter	markdown	https://github.com/DavidAnson/markdownlint-cli2	889	2026-07-30	A fast, flexible, configuration-based command-line interface for linting Markdown/CommonMark files with the markdownlint library
npm:@marko/language-server	marko-language-server	lsp	marko	https://github.com/marko-js/language-server	44	2026-07-31	A language server (implementing the language server protocol) for Marko.
marksman	marksman	lsp	markdown	https://github.com/artempyanykh/marksman	3287	2026-02-08	Markdown LSP server providing completion, cross-references, diagnostics, and more.
npm:markuplint	markuplint	linter	html	https://markuplint.dev	-	-	An HTML linter for all markup developers.
github:mathworks/MATLAB-language-server	matlab-language-server	lsp	matlab	https://github.com/mathworks/MATLAB-language-server	121	2026-07-28	Language Server Protocol implementation for the MATLAB language.
pipx:mbake	mbake	formatter,linter	makefile	https://github.com/EbodShojaei/bake	756	2026-07-22	Makefile formatter and linter.
pipx:mdformat	mdformat	formatter	markdown	https://github.com/executablebooks/mdformat	802	2026-07-27	CommonMark compliant Markdown formatter.
cargo:mdsf	mdsf	formatter	markdown	https://github.com/hougesen/mdsf	111	2026-08-02	Format markdown code blocks using your favorite code formatters.
github:razziel89/mdslw	mdslw	formatter	markdown	https://github.com/razziel89/mdslw	34	2026-07-28	The MarkDown Sentence Line Wrapper, an auto-formatter that prepares your markdown for easy diff'ing.
npm:@mdx-js/language-server	mdx-analyzer	lsp	mdx	https://github.com/mdx-js/mdx-analyzer/tree/main/packages/language-server	-	-	This package provides a language server for MDX. The language server provides IntelliSense based on TypeScript, as well as some markdown specific features.
github:JCWasmx86/mesonlsp	mesonlsp	lsp	meson	https://github.com/JCWasmx86/mesonlsp	94	2026-07-23	An unofficial, unendorsed language server for meson written in C++
github:digama0/mm0	metamath-zero-lsp	lsp	metamath zero	https://github.com/digama0/mm0	408	2026-08-02	An MM0/MM1 server written in Rust.
github:azdavis/millet	millet	lsp	standard ml	https://github.com/azdavis/millet	252	2026-07-05	A language server for Standard ML.
pipx:miss-hit	miss_hit	formatter,linter	matlab,octave	https://misshit.org	-	-	Free and open source code quality tools for MATLAB and Octave.
go:github.com/client9/misspell	misspell	linter	any	https://github.com/client9/misspell	1405	2024-06-12	Correct commonly misspelled English words in source files.
unavailable:motoko-lsp	motoko-lsp	lsp	motoko	https://github.com/dfinity/vscode-motoko	46	2026-07-31	Language server for the Motoko programming language.
cargo:move-analyzer	move-analyzer	lsp	move	https://github.com/move-language/move	2331	2024-05-04	move-analyzer is a language server implementation for the Move programming language.
github:mhersson/mpls	mpls	lsp	markdown	https://github.com/mhersson/mpls	218	2026-07-22	Markdown Preview Language Server
pipx:mutt-language-server	mutt-language-server	lsp	python	https://github.com/neomutt/mutt-language-server	22	2026-07-27	A language server for (neo)mutt's muttrc.
pipx:mypy	mypy	linter	python	https://github.com/python/mypy	20566	2026-08-01	Mypy is a static type checker for Python.
github:neocmakelsp/neocmakelsp	neocmakelsp	lsp	cmake	https://github.com/neocmakelsp/neocmakelsp	420	2026-08-01	CMake LSP implementation based on Tower and Tree-sitter.
github:nextflow-io/language-server	nextflow-language-server	lsp	nextflow	https://github.com/nextflow-io/language-server	31	2026-07-28	A language server for Nextflow.
github:elixir-tools/next-ls	nextls	lsp	elixir	https://www.elixir-tools.dev/next-ls/	-	-	NextLS is the language server for Elixir that just works.
pipx:nginxfmt	nginx-config-formatter	formatter	nginx	https://github.com/slomkowski/nginx-config-formatter	424	2026-03-09	nginx config file formatter/beautifier written in Python with no additional dependencies.
pipx:nginx-language-server	nginx-language-server	lsp	nginx	https://github.com/pappasam/nginx-language-server	107	2025-04-18	A language server for nginx configuration files.
cargo:nickel-lang-lsp	nickel-lang-lsp	lsp	nickel	https://nickel-lang.org/	-	-	The Nickel Language Server (NLS) is a language server for the Nickel programming language. NLS offers error messages, type hints, and auto-completion right in your favorite LSP-enabled editor.
github:oxalica/nil	nil	lsp	nix	https://github.com/oxalica/nil	1880	2026-07-26	Language Server for Nix.
go:go.uber.org/nilaway	nilaway	linter	go	https://github.com/uber-go/nilaway	3877	2026-08-02	NilAway is a static analysis tool that seeks to help developers avoid nil panics in production by catching them at compile time rather than at runtime.
github:nim-lang/langserver	nimlangserver	lsp	nim	https://github.com/nim-lang/langserver	310	2026-07-28	The Nim language server implementation (based on nimsuggest)
github:PMunch/nimlsp	nimlsp	lsp	nim	https://github.com/PMunch/nimlsp	445	2026-02-09	Language Server Protocol implementation for Nim.
github:NixOS/nixfmt	nixfmt	formatter	nix	https://github.com/NixOS/nixfmt	1569	2026-07-29	The official formatter for Nix code
cargo:nixpkgs-fmt	nixpkgs-fmt	formatter	nix	https://github.com/nix-community/nixpkgs-fmt	556	2024-07-24	Nix code formatter for nixpkgs
nomad	nomad	formatter,linter	nomad	https://www.nomadproject.io/	-	-	Nomad is an easy-to-use, flexible, and performant workload orchestrator that can deploy a mix of microservice, batch, containerized, and non-containerized applications. Nomad is easy to operate and scale and has native Consul and Vault integrations.
npm:@nomicfoundation/solidity-language-server	nomicfoundation-solidity-language-server	lsp	solidity	https://github.com/NomicFoundation/hardhat-vscode	211	2026-05-20	Solidity language server by NomicFoundation
npm:npm-groovy-lint	npm-groovy-lint	linter,formatter	groovy	https://github.com/nvuillam/npm-groovy-lint	247	2026-08-02	Lint, format and auto-fix your Groovy / Jenkinsfile / Gradle files using command line.
github:nokia/ntt	ntt	lsp	ttcn-3	https://nokia.github.io/ntt/	-	-	Modern tools for TTCN-3
npm:nxls	nxls	lsp	json	https://github.com/nrwl/nx-console/tree/master/apps/nxls	-	-	A language server that provides code completion and more for Nx workspaces.
unavailable:ocaml-lsp	ocaml-lsp	lsp	ocaml	https://github.com/ocaml/ocaml-lsp	909	2026-08-02	OCaml Language Server Protocol implementation.
unavailable:ocamlformat	ocamlformat	formatter	ocaml	https://github.com/ocaml-ppx/ocamlformat	-	-	ocamlformat is a tool for formatting OCaml code. It automatically adjusts the layout of your code to follow the recommended style guidelines, making it easier to read and understand.
pipx:oelint-adv	oelint-adv	linter	bitbake	https://github.com/priv-kweihmann/oelint-adv	86	2026-07-28	Linter for bitbake recipes.
github:DanielGavin/ols	ols	lsp,formatter	odin	https://github.com/DanielGavin/ols	1124	2026-08-02	Language server for Odin. This project is still in early development.
github:OmniSharp/omnisharp-roslyn	omnisharp	lsp	csharp	-	-	-	-
github:OmniSharp/omnisharp-roslyn	omnisharp-mono	lsp	c#	https://github.com/OmniSharp/omnisharp-roslyn	2054	2026-05-25	OmniSharp language server based on Roslyn workspaces. This version of Omnisharp requires Mono to be installed on Linux & macOS.
opa	opa	linter,formatter	rego	https://github.com/open-policy-agent/opa	12061	2026-08-01	Open Policy Agent (OPA) is an open source, general-purpose policy engine.
github:Galarius/opencl-language-server	opencl-language-server	lsp	opencl	https://github.com/Galarius/opencl-language-server	14	2026-07-05	Provides an OpenCL kernel diagnostics.
github:vscode-abl/vscode-abl	openedge-language-server	lsp	progress,openedge	https://github.com/vscode-abl/vscode-abl	52	2026-07-29	OpenEdge Language Server.
cargo:openscad-language-server	openscad-language-server	lsp	openscad	https://github.com/dzhu/openscad-language-server	29	2022-09-03	A Language Server Protocol server for OpenSCAD
cargo:openscad-lsp	openscad-lsp	lsp	openscad	https://github.com/Leathong/openscad-LSP	163	2026-07-03	Language Server Protocol implementation for OpenSCAD, written in Rust.
ormolu	ormolu	formatter	haskell	https://hackage.haskell.org/package/ormolu	-	-	A formatter for Haskell source code.
oxfmt	oxfmt	formatter	angular,css,flow,graphql,html,json,jsx,javascript,less,markdown,scss,typescript,vue,yaml	https://oxc.rs/docs/guide/usage/formatter	-	-	Prettier-compatible code formatter powered by Oxc
oxlint	oxlint	lsp,linter	javascript,typescript	https://github.com/oxc-project/oxc	22201	2026-08-02	High-performance linter for JavaScript and TypeScript written in Rust.
unavailable:palantir-java-format	palantir-java-format	formatter	java	https://github.com/palantir/palantir-java-format	856	2026-08-02	A modern, lambda-friendly, 120 character Java formatter.
github:jolars/panache	panache	lsp,formatter,linter	markdown,quarto,r markdown	https://panache.bz	-	-	An LSP, formatter, and linter for Markdown, Quarto, and R Markdown.
cargo:pbls	pbls	lsp	protobuf	https://git.sr.ht/~rrc/pbls	-	-	A language server implementation for Google Protocol Buffers.
npm:perlnavigator-server	perlnavigator	lsp	perl	https://github.com/bscan/PerlNavigator	268	2026-07-18	Perl Language Server that includes perl critic and code navigation.
cargo:pest-language-server	pest-language-server	lsp	pest	https://github.com/pest-parser/pest-ide-tools	69	2026-06-12	A language server for Pest grammar.
github:darold/pgformatter	pgformatter	formatter	postgres,sql	http://sqlformat.darold.net	-	-	PostgreSQL SQL syntax beautifier
github:PHP-CS-Fixer/PHP-CS-Fixer	php-cs-fixer	formatter	php	https://github.com/PHP-CS-Fixer/PHP-CS-Fixer	13547	2026-07-31	The PHP Coding Standards Fixer (PHP CS Fixer) tool fixes your code to follow standards; whether you want to follow PHP coding standards as defined in the PSR-1, PSR-2, etc., or other community driven ones like the Symfony one. You can also define your (team's) style through configuration.
github:phpactor/phpactor	phpactor	lsp	php	https://phpactor.readthedocs.io/en/master/	-	-	Phpactor is an intelligent Completion and Refactoring tool for PHP which is available over it’s own RPC protocol and as a Language Server.
github:PHPantom-dev/phpantom_lsp	phpantom_lsp	lsp	php	https://github.com/PHPantom-dev/phpantom_lsp	1058	2026-08-02	A lightweight PHP language server with deep type intelligence — generics, Laravel support, and PHPStan annotations. Written in Rust for fast startup and low memory use.
github:PHPCSStandards/PHP_CodeSniffer	phpcbf	formatter	php	https://github.com/PHPCSStandards/PHP_CodeSniffer	1537	2026-08-02	phpcbf automatically corrects coding standard violations that would be detected by phpcs.
github:phpmd/phpmd	phpmd	linter	php	https://github.com/phpmd/phpmd	2440	2026-08-02	PHPMD is a spin-off project of PHP Depend and aims to be a PHP equivalent of the well known Java tool PMD. PHPMD can be seen as an user friendly frontend application for the raw metrics stream measured by PHP Depend.
github:phpstan/phpstan	phpstan	linter	php	https://github.com/phpstan/phpstan	14053	2026-08-01	PHP Static Analysis Tool - discover bugs in your code without running it!
github:japhib/pico8-ls	pico8-ls	lsp	pico-8	https://github.com/japhib/pico8-ls	112	2026-07-31	Full language support for the PICO-8 dialect of Lua.
pint	pint	formatter	php	https://laravel.com/docs/pint	-	-	Laravel Pint is an opinionated PHP code style fixer for minimalists.
github:apple/pkl-lsp	pkl-lsp	lsp	pkl	https://github.com/apple/pkl-lsp	89	2026-07-15	Language server for Pkl, implementing the server-side of the Language Server Protocol.
github:supabase-community/postgres-language-server	postgres-language-server	lsp,linter	postgres,sql	https://pg-language-server.com	-	-	A collection of language tools and a Language Server Protocol (LSP) implementation for Postgres, focusing on developer experience and reliable SQL tooling.
github:PowerShell/PowerShellEditorServices	powershell-editor-services	lsp	powershell	https://github.com/PowerShell/PowerShellEditorServices	760	2026-06-26	A common platform for PowerShell development support in any editor or application.
prettier	prettier	formatter	javascript,typescript,css,html,json,yaml,markdown	https://prettier.io	-	-	Prettier is an opinionated code formatter.
npm:@fsouza/prettierd	prettierd	formatter	angular,css,flow,graphql,html,json,jsx,javascript,less,markdown,scss,typescript,vue,yaml	https://github.com/fsouza/prettierd	993	2026-07-27	Prettier, as a daemon, for ludicrous formatting speed.
github:lkrms/pretty-php	pretty-php	formatter	php	https://github.com/lkrms/pretty-php	150	2025-12-10	The opinionated PHP code formatter
npm:prettydiff	prettydiff	formatter	html	https://github.com/prettydiff/prettydiff	1772	2023-08-14	Beautifier and language aware code comparison tool for many languages. It also minifies and a few other things.
cargo:prettypst	prettypst	formatter	typst	https://github.com/antonWetzel/prettypst	53	2026-07-22	Formatter for Typst
npm:@prisma/language-server	prisma-language-server	lsp	prisma	https://github.com/prisma/language-tools	295	2026-07-31	Any editor that is compatible with the Language Server Protocol can create clients that can use the features provided by this language server.
github:cloudflare/pint	prometheus-pint	linter	promql	https://cloudflare.github.io/pint/	-	-	Prometheus rule linter/validator
pipx:proselint	proselint	linter	text,markdown	https://github.com/amperser/proselint	4555	2026-07-24	proselint is a linter for English prose. It places the world's greatest writers and editors by your side, where they whisper suggestions on how to improve your prose.
github:kitten/prosemd-lsp	prosemd-lsp	lsp	markdown	https://github.com/kitten/prosemd-lsp	179	2023-03-26	An experimental proofreading and linting language server for markdown files.
protolint	protolint	linter	protobuf	https://github.com/yoheimuta/protolint	696	2026-05-27	protolint is the pluggable linting/fixing utility for Protocol Buffer files (proto2+proto3).
github:coder3101/protols	protols	lsp	protobuf	https://github.com/coder3101/protols	194	2026-08-02	A Simple LSP for proto3 protobuf files.
unavailable:psalm	psalm	lsp	php	https://psalm.dev/	-	-	A static analysis tool for finding errors in PHP applications.
github:opa-oz/pug-lsp	pug-lsp	lsp	pug	https://github.com/opa-oz/pug-lsp	11	2025-08-23	An implementation of the Language Protocol Server for [Pug.js](http://pugjs.org)
github:puppetlabs/puppet-editor-services	puppet-editor-services	lsp	puppet	https://github.com/puppetlabs/puppet-editor-services	52	2025-09-30	Puppet Language Server for editors.
npm:purescript-language-server	purescript-language-server	lsp	purescript	https://github.com/nwolverson/purescript-language-server	200	2026-05-02	Node-based Language Server Protocol server for PureScript based on the PureScript IDE server (aka psc-ide / purs ide server). Used as the vscode plugin backend but should be compatible with other Language Server Client implementations.
npm:purs-tidy	purescript-tidy	formatter	purescript	https://github.com/natefaubion/purescript-tidy	101	2025-10-13	A syntax tidy-upper (formatter) for PureScript.
